,Cu,NaOH,median_ratio,fit_A,fit_B,fit_C
0,100.0,5.0,,0.9,1.0,2.7299653293709767
1,125.0,5.0,,0.9,1.0,2.868350668647846
2,150.0,5.0,,,,
3,175.0,5.0,,,,
4,200.0,5.0,,,,
5,225.0,5.0,,,,
6,250.0,5.0,,0.9,1.0,3.006736007924715
7,275.0,5.0,,,,
8,300.0,5.0,,,,
9,325.0,5.0,,,,
10,350.0,5.0,,,,
11,375.0,5.0,,0.9,1.0,0.6416047548291175
12,100.0,7.5,1.0617652219687643,0.8634107609723091,0.1110748039163072,1.5400077923335604
13,125.0,7.5,1.0794063647490824,0.913015133836472,0.151945595058738,1.6146113540677258
14,150.0,7.5,1.07698602264685,0.8231222396231104,0.1627402660017595,1.8026614095874425
15,175.0,7.5,1.0263203463203454,1.0000000005478915,0.0500739280210669,1.8777723016348764
16,200.0,7.5,1.0551572327044028,0.9175378398080248,0.1126663380975966,1.8777723016264072
17,225.0,7.5,1.1091385872087645,0.6526684253873164,0.2402605751348728,1.6659685662444796
18,250.0,7.5,1.0643585031740692,1.10320083468405,0.1070229714875196,1.8288180998214771
19,275.0,7.5,1.0422535211267618,1.0967364085650413,0.0686712372219554,1.540747127985
20,300.0,7.5,1.035460992907798,1.119773081308561,0.0643546260027177,1.6119279919204403
21,325.0,7.5,1.0476190476190492,0.566491922139894,0.2311382463304201,1.5029588876358186
22,350.0,7.5,1.0575539568345305,0.8289847706959078,0.125202076992956,1.5292712848454897
23,375.0,7.5,1.0510948905109485,0.7603504918099189,0.1443189108203133,1.485713733423196
24,100.0,10.0,1.0524475524475498,0.8408482034850235,0.0913189870472318,1.304140142614754
25,125.0,10.0,1.05940594059406,0.624775858334099,0.1487015746823458,1.0889875133947224
26,150.0,10.0,1.0679611650485452,0.6241330732354828,0.117263426425885,1.2504125753582664
27,175.0,10.0,1.0627815315315312,0.6455339800046431,0.1563084001313354,1.1069686472528109
28,200.0,10.0,1.051157710790738,0.7939148078619015,0.1191764112896308,1.1808963701408348
29,225.0,10.0,1.0770370370370368,0.7741384179160378,0.1362481920263255,1.1859968694014889
