,Cu,NaOH,median_ratio,fit_A,fit_B,fit_C
42,178.6,5.9,1.0594936577466838,1.488690717445678,0.04062042523227816,1.463488207967815
43,184.2,5.9,1.0868486352357307,1.2946284901746472,0.11260966389611717,1.8152440283190696
44,189.8,5.9,1.05823118257,1.357265358401126,0.04181160875019941,1.4051365322599478
45,195.4,5.9,1.052959501557632,1.219339294320062,0.057898492272995886,1.4067564245906556
46,201.0,5.9,1.064516129032257,1.243943335941515,0.06034292619964753,1.5048949935413547
47,206.6,5.9,1.0666666666666635,0.7473859149795941,0.24752798329759768,1.3419840722124263
48,144.9,6.3,1.076923076923077,1.0682167754666303,0.15247546470188367,1.458189338481648
49,150.5,6.3,1.1102362204724407,1.8494296605679117,0.03602625609906281,1.6789659796369956
50,156.1,6.3,1.0609318996415766,1.6466518376981816,0.025029917162306976,1.483481818371492
51,161.7,6.3,1.0804473236239822,1.3327658031927292,0.06942918338604957,1.3219469779439663
52,167.3,6.3,1.0638870757180157,1.5148493092445152,0.03055771460462718,1.4269825990210323
53,173.0,6.3,1.063333333333333,1.294046702173841,0.06302516210408834,1.519765026373132
54,178.6,6.3,1.072864321608042,1.5874068730536048,0.03241844636954177,1.5139334107461526
55,184.2,6.3,1.0712401055408955,1.4080412287609962,0.05392014992371258,1.6110665513408986
56,189.8,6.3,,,,
57,195.4,6.3,1.0596345946241408,1.5110678267848467,0.037700473958571054,1.634722463376567
58,201.0,6.3,1.062745098039214,1.7314625441069345,0.018436426631497686,1.3863513563394123
59,206.6,6.3,1.0684596577017107,1.5007120746402438,0.03979396687806739,1.5586282070707402
60,144.9,6.7,1.067949286922312,1.48339731977727,0.03672126955275953,1.26559893494291
61,150.5,6.7,1.0795911834644232,1.6705021739764843,0.04151748066174548,1.569993434950346
62,156.1,6.7,1.0685483870967738,1.5757304467515427,0.025419753122113226,1.230975184512403
63,161.7,6.7,1.0497684923771886,1.715849845090013,0.020211358373110985,1.4674560128814989
64,167.3,6.7,1.1041815400305972,1.42377184689261,0.07534922164362488,1.3689669984042154
65,173.0,6.7,1.064981949458487,1.7386544193950613,0.023280394578502093,1.5463569130971908
66,178.6,6.7,1.0745117810855058,1.6529767671010882,0.02922614957110317,1.3665334181837443
67,184.2,6.7,1.064516129032259,1.6120394689996356,0.032991206977112296,1.4202813948617292
68,189.8,6.7,1.0583018867924536,1.6929145311764564,0.019625331974508085,1.3805671596770617
69,195.4,6.7,1.1185682326621915,1.5502593913238292,0.07857884625863135,1.8364838430164616
70,201.0,6.7,1.084016393442624,1.7514563841017043,0.03451174034405167,1.664778066792711
71,206.6,6.7,1.0728523251686195,1.3124072511011806,0.055458220958987337,1.3135292726580556
72,144.9,7.2,1.0544747081712067,1.7458345602849448,0.017932428979348557,1.3918790651212172
73,150.5,7.2,1.073520520970083,1.8175882960483312,0.01262535257963993,1.135494444566208
74,156.1,7.2,1.100028058361392,1.6726970535204653,0.04013582690455457,1.4197574235288009
75,161.7,7.2,1.0747168284789637,1.7836975522773515,0.01887654346568731,1.2838776617858747
76,167.3,7.2,1.0787365177195678,1.468424678287438,0.05263813357754728,1.4691319633524835
77,173.0,7.2,1.073270479092045,1.7439185314523933,0.02361953756475118,1.4233899330992263
78,178.6,7.2,1.0712877516778523,1.7543471319493231,0.032216543913235564,1.5349106235791827
79,184.2,7.2,1.0705128205128192,1.712726979013676,0.02655742041613912,1.3304835382404876
80,189.8,7.2,1.0621301775147889,1.7098907559547367,0.016503287627872752,1.1835129148245296
81,195.4,7.2,1.0525194880383775,1.7239674424197011,0.01508910813220078,1.242656767831478
82,201.0,7.2,1.0642376353526464,1.5730816718538652,0.02144235893441984,1.177625837816961
83,206.6,7.2,1.0554016620498623,1.8560895772352697,0.02383446837865663,1.3269931680305131
84,144.9,7.6,1.061475409836065,1.7693926790600647,0.01577411093346496,1.1844343559939607
